TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,GoTicketsVenueId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,IsMarketingDefined,7,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,VenueAliasId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,SourceChangedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,GoTicketsPerformerId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,GoTicketsVenueId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,IsMarketingDefined,6,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,VenueAliasId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,SourceChangedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,CreatedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,UpdatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,GoTicketsPerformerId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,IsMarketingDefined,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,SourceChangedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,CreatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,UpdatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
